# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2215
#@/user_id	stella
ffff 	土	c=1 d=0.965605 t=2215
fge 	博	c=1 d=0.0605068 t=2215
fggh 	干	c=1 d=0.519442 t=2215
fgh 	十	c=1 d=0.0528657 t=2215
fghy 	雨	c=2 d=0.793311 t=2215
fgkw 	干啥	c=2 d=0.995659 t=2215
fh 	直	c=2 d=0.810376 t=2215
fha 	越	c=4 d=0.951502 t=2215
fhf 	直	c=1 d=0.0181334 t=2215
fhfp 	超过	c=1 d=0.145876 t=2215
fhgo 	起来	c=2 d=0.579707 t=2215
fhi 	趟	c=1 d=0.980199 t=2215
fhie 	趙	c=1 d=0.109154 t=2215
fhkh 	走路	c=1 d=0.0483156 t=2215
fhn 	起	c=4 d=1.45545 t=2215
fhq 	赵	c=3 d=0.934247 t=2215
fhu 	走	c=4 d=0.321114 t=2215
fj 	进	c=1 d=0.275271 t=2215
fje 	朝	c=1 d=0.946485 t=2215
fjfc 	进去	c=1 d=0.440432 t=2215
fjfh 	韩	c=2 d=1.9802 t=2215
fjp 	进	c=1 d=0.806541 t=2215
fkdm 	頡	c=3 d=2.78344 t=2215
fke 	袁	c=1 d=0.99005 t=2215
fnde 	专有	c=1 d=0.166127 t=2215
fnh 	韦	c=1 d=0.0593087 t=2215
fnog 	专业	c=1 d=0.540641 t=2215
fnw 	块	c=1 d=0.0108347 t=2215
fonk 	赤壁	c=1 d=0.0523397 t=2215
fp 	过	c=4 d=0.513743 t=2215
fpgo 	过来	c=4 d=0.842692 t=2215
fpih 	过滤	c=1 d=0.937067 t=2215
fprh 	过年	c=1 d=0.0291588 t=2215
fqb 	元	c=1 d=0.909373 t=2215
fqp 	远	c=1 d=0.0450492 t=2215
ft 	才	c=3 d=0.793953 t=2215
ftaq 	孝敬	c=1 d=0.0126512 t=2215
ftbt 	教	c=1 d=0.268474 t=2215
ftce 	才能	c=1 d=0.918512 t=2215
ftde 	都有	c=1 d=0.00848038 t=2215
ftdg 	考研	c=1 d=0.0645703 t=2215
ftha 	考虑	c=1 d=0.109701 t=2215
ftjb 	都	c=12 d=2.16709 t=2215
ftjg 	都是	c=2 d=0.0288297 t=2215
ftx 	老	c=3 d=0.157404 t=2215
fuk 	培	c=1 d=0.918512 t=2215
fv 	雪	c=1 d=0.97531 t=2215
fwyg 	堆	c=1 d=0.0833256 t=2215
fyb 	雱	c=-1 d=0.985112 t=2215
g 	一	c=58 d=5.20411 t=2215
ga 	开	c=4 d=0.639413 t=2215
gah 	武	c=1 d=0.640824 t=2215
gaip 	开学	c=1 d=0.0695994 t=2215
gaj 	弄	c=2 d=0.183144 t=2215
galg 	开车	c=1 d=0.157237 t=2215
garh 	弄掉	c=1 d=0.22091 t=2215
gavc 	开始	c=2 d=0.268663 t=2215
gawf 	开会	c=1 d=0.162026 t=2215
gc 	到	c=14 d=2.87815 t=2215
gd 	天	c=3 d=1.78636 t=2215
gdrn 	天气	c=2 d=0.753537 t=2215
gduw 	天冷	c=1 d=0.117655 t=2215
gef 	青	c=1 d=0.955997 t=2215
gf 	于	c=1 d=0.486752 t=2215
gfq 	玩	c=2 d=0.567172 t=2215
gg 	五	c=2 d=0.307823 t=2215
ggfh 	一直	c=1 d=0.0884781 t=2215
ggfh 	一起	c=2 d=0.0889304 t=2215
ggg 	王	c=2 d=1.1649 t=2215
ggtt 	五笔	c=3 d=2.85143 t=2215
gh 	下	c=6 d=1.82457 t=2215
ghd 	正	c=1 d=0.255381 t=2215
ghdm 	下面	c=1 d=0.400517 t=2215
ghfa 	下载	c=1 d=0.856415 t=2215
ghlk 	下回	c=1 d=0.186374 t=2215
ghso 	下楼	c=1 d=0.0261214 t=2215
ghtf 	下午	c=6 d=0.820456 t=2215
ghuj 	下单	c=1 d=0.453845 t=2215
ghvb 	正好	c=2 d=0.352515 t=2215
gi 	不	c=35 d=7.88448 t=2215
gifp 	不过	c=1 d=0.0884781 t=2215
gigf 	丕	c=1 d=0.895834 t=2215
gijg 	还是	c=2 d=0.310367 t=2215
gip 	还	c=11 d=2.33849 t=2215
gj ov 	理娄	c=-1 d=0 t=2215
gjq 	更	c=2 d=0.822835 t=2215
gk 	事	c=1 d=0.128735 t=2215
gkf 	吾	c=1 d=0.995012 t=2215
gkhk 	璐	c=2 d=1.99501 t=2215
gkmh 	鬲	c=1 d=0.980199 t=2215
gkp 	带	c=2 d=0.195995 t=2215
gkwr 	事件	c=1 d=0.806541 t=2215
gm 	现	c=3 d=0.111037 t=2215
gmdh 	现在	c=9 d=0.300911 t=2215
gmdj 	瑞	c=3 d=2.40089 t=2215
gmf 	再	c=10 d=1.55615 t=2215
gmfn 	现场	c=1 d=0.582748 t=2215
gmgd 	两天	c=2 d=0.639766 t=2215
gmhk 	两点	c=1 d=0.472367 t=2215
gmwh 	两个	c=2 d=0.99797 t=2215
gmww 	两	c=6 d=0.548937 t=2215
gn 	与	c=1 d=0.0505395 t=2215
go 	来	c=6 d=1.27275 t=2215
gog 	亚	c=1 d=0.119433 t=2215
gogd 	亚	c=2 d=0.274267 t=2215
golk 	来回	c=1 d=0.0485578 t=2215
goo 	琰	c=1 d=0.923116 t=2215
gotg 	严重	c=1 d=0.0426384 t=2215
gqjo 	烈	c=1 d=0.904837 t=2215
grcr 	天气预报	c=1 d=0.400517 t=2215
gs 	末	c=1 d=0.597501 t=2215
gsk 	珂	c=1 d=0.120032 t=2215
gufq 	平均	c=1 d=0.0100518 t=2215
gxi 	素	c=1 d=0.45612 t=2215
h 	上	c=4 d=0.404998 t=2215
hhhh 	目	c=2 d=1.94111 t=2215
hhtf 	上午	c=2 d=0.318783 t=2215
hhu 	卡	c=4 d=0.0931371 t=2215
hhys 	上床	c=1 d=0.826959 t=2215
hi 	步	c=2 d=0.182385 t=2215
hic 	叔	c=1 d=0.522046 t=2215
hjj 	卓	c=1 d=0.941765 t=2215
